Sex;Provinces;Rates;Periodo;Total
Both sexes;02 Albacete;Unemployment rate;2023QII;12,73
Both sexes;02 Albacete;Unemployment rate;2023QI;13,61
Both sexes;02 Albacete;Unemployment rate;2022QIV;11
Both sexes;02 Albacete;Unemployment rate;2022QIII;10,7
Both sexes;02 Albacete;Unemployment rate;2022QII;12,41
Both sexes;02 Albacete;Unemployment rate;2022QI;16,57
Both sexes;02 Albacete;Unemployment rate;2021QIV;12,07
Both sexes;02 Albacete;Unemployment rate;2021QIII;15,49
Both sexes;02 Albacete;Unemployment rate;2021QII;14,65
Both sexes;02 Albacete;Unemployment rate;2021QI;19,77
Both sexes;02 Albacete;Employment rate;2023QIV;51,18
Both sexes;02 Albacete;Employment rate;2023QIII;53,49
Both sexes;02 Albacete;Employment rate;2023QII;52,02
Both sexes;02 Albacete;Employment rate;2023QI;51,24
Both sexes;02 Albacete;Employment rate;2022QIV;52,55
Both sexes;02 Albacete;Employment rate;2022QIII;51,32
Both sexes;02 Albacete;Employment rate;2022QII;50,86
Both sexes;02 Albacete;Employment rate;2022QI;48,52
Both sexes;02 Albacete;Employment rate;2021QIV;48,8
Both sexes;02 Albacete;Employment rate;2021QIII;49,96
Both sexes;02 Albacete;Employment rate;2021QII;49,62
Both sexes;02 Albacete;Employment rate;2021QI;46,67
Both sexes;03 Alicante/Alacant;Activity rate;2023QIV;58,51
Both sexes;03 Alicante/Alacant;Activity rate;2023QIII;59,26
Both sexes;03 Alicante/Alacant;Activity rate;2023QII;57,66
Both sexes;03 Alicante/Alacant;Activity rate;2023QI;58,23
Both sexes;03 Alicante/Alacant;Activity rate;2022QIV;60,21
Both sexes;03 Alicante/Alacant;Activity rate;2022QIII;58,15
Both sexes;03 Alicante/Alacant;Activity rate;2022QII;57,08
Both sexes;03 Alicante/Alacant;Activity rate;2022QI;57,88
Both sexes;03 Alicante/Alacant;Activity rate;2021QIV;57,92
Both sexes;03 Alicante/Alacant;Activity rate;2021QIII;57,17
Both sexes;03 Alicante/Alacant;Activity rate;2021QII;55,89
Both sexes;03 Alicante/Alacant;Activity rate;2021QI;55,27
Both sexes;03 Alicante/Alacant;Unemployment rate;2023QIV;13,28
Both sexes;03 Alicante/Alacant;Unemployment rate;2023QIII;11,46
Both sexes;03 Alicante/Alacant;Unemployment rate;2023QII;12,67
Both sexes;03 Alicante/Alacant;Unemployment rate;2023QI;15,48
Both sexes;03 Alicante/Alacant;Unemployment rate;2022QIV;15,21
Both sexes;03 Alicante/Alacant;Unemployment rate;2022QIII;13,61
Both sexes;03 Alicante/Alacant;Unemployment rate;2022QII;14,13
Both sexes;03 Alicante/Alacant;Unemployment rate;2022QI;14,78
Both sexes;03 Alicante/Alacant;Unemployment rate;2021QIV;18,53
Both sexes;03 Alicante/Alacant;Unemployment rate;2021QIII;18,43
Both sexes;03 Alicante/Alacant;Unemployment rate;2021QII;17,93
Both sexes;03 Alicante/Alacant;Unemployment rate;2021QI;19,17
Both sexes;03 Alicante/Alacant;Employment rate;2023QIV;50,74
Both sexes;03 Alicante/Alacant;Employment rate;2023QIII;52,47
Both sexes;03 Alicante/Alacant;Employment rate;2023QII;50,36
Both sexes;03 Alicante/Alacant;Employment rate;2023QI;49,21
Both sexes;03 Alicante/Alacant;Employment rate;2022QIV;51,05
Both sexes;03 Alicante/Alacant;Employment rate;2022QIII;50,23
Both sexes;03 Alicante/Alacant;Employment rate;2022QII;49,01
Both sexes;03 Alicante/Alacant;Employment rate;2022QI;49,32
Both sexes;03 Alicante/Alacant;Employment rate;2021QIV;47,19
Both sexes;03 Alicante/Alacant;Employment rate;2021QIII;46,64
Both sexes;03 Alicante/Alacant;Employment rate;2021QII;45,86
Both sexes;03 Alicante/Alacant;Employment rate;2021QI;44,68
Both sexes;04 Almería;Activity rate;2023QIV;58,76
Both sexes;04 Almería;Activity rate;2023QIII;61,86
Both sexes;04 Almería;Activity rate;2023QII;61,68
Both sexes;04 Almería;Activity rate;2023QI;62,32
Both sexes;04 Almería;Activity rate;2022QIV;61,28
Both sexes;04 Almería;Activity rate;2022QIII;60,18
Both sexes;04 Almería;Activity rate;2022QII;61,31
Both sexes;04 Almería;Activity rate;2022QI;62,43
Both sexes;04 Almería;Activity rate;2021QIV;62,46
Both sexes;04 Almería;Activity rate;2021QIII;61,55
Both sexes;04 Almería;Activity rate;2021QII;60,54
Both sexes;04 Almería;Activity rate;2021QI;61,32
Both sexes;04 Almería;Unemployment rate;2023QIV;14,46
Both sexes;04 Almería;Unemployment rate;2023QIII;19,83
Both sexes;04 Almería;Unemployment rate;2023QII;16,34
Both sexes;04 Almería;Unemployment rate;2023QI;12,87
Both sexes;04 Almería;Unemployment rate;2022QIV;16,06
Both sexes;04 Almería;Unemployment rate;2022QIII;20,1
Both sexes;04 Almería;Unemployment rate;2022QII;15,39
Both sexes;04 Almería;Unemployment rate;2022QI;15,9
Both sexes;04 Almería;Unemployment rate;2021QIV;15,65
Both sexes;04 Almería;Unemployment rate;2021QIII;21,41
Both sexes;04 Almería;Unemployment rate;2021QII;22,01
Both sexes;04 Almería;Unemployment rate;2021QI;17,14
Both sexes;04 Almería;Employment rate;2023QIV;50,26
Both sexes;04 Almería;Employment rate;2023QIII;49,59
Both sexes;04 Almería;Employment rate;2023QII;51,6
Both sexes;04 Almería;Employment rate;2023QI;54,3
Both sexes;04 Almería;Employment rate;2022QIV;51,44
Both sexes;04 Almería;Employment rate;2022QIII;48,08
Both sexes;04 Almería;Employment rate;2022QII;51,87
Both sexes;04 Almería;Employment rate;2022QI;52,5
Both sexes;04 Almería;Employment rate;2021QIV;52,68
Both sexes;04 Almería;Employment rate;2021QIII;48,37
Both sexes;04 Almería;Employment rate;2021QII;47,22
Both sexes;04 Almería;Employment rate;2021QI;50,8
Both sexes;01 Araba/Álava;Activity rate;2023QIV;56,79
Both sexes;01 Araba/Álava;Activity rate;2023QIII;58,29
Both sexes;01 Araba/Álava;Activity rate;2023QII;58,79
Both sexes;01 Araba/Álava;Activity rate;2023QI;59,45
Both sexes;01 Araba/Álava;Activity rate;2022QIV;59,33
Both sexes;01 Araba/Álava;Activity rate;2022QIII;58,54
Both sexes;01 Araba/Álava;Activity rate;2022QII;57,62
Both sexes;01 Araba/Álava;Activity rate;2022QI;57,36
Both sexes;01 Araba/Álava;Activity rate;2021QIV;59,49
Both sexes;01 Araba/Álava;Activity rate;2021QIII;58,3
Both sexes;01 Araba/Álava;Activity rate;2021QII;55,35
Both sexes;01 Araba/Álava;Activity rate;2021QI;56,06
Both sexes;01 Araba/Álava;Unemployment rate;2023QIV;5,03
Both sexes;01 Araba/Álava;Unemployment rate;2023QIII;9,15
Both sexes;01 Araba/Álava;Unemployment rate;2023QII;6,66
Both sexes;01 Araba/Álava;Unemployment rate;2023QI;6,35
Both sexes;01 Araba/Álava;Unemployment rate;2022QIV;7,81
Both sexes;01 Araba/Álava;Unemployment rate;2022QIII;8,62
Both sexes;01 Araba/Álava;Unemployment rate;2022QII;9,42
Both sexes;01 Araba/Álava;Unemployment rate;2022QI;9,38
Both sexes;01 Araba/Álava;Unemployment rate;2021QIV;8,71
Both sexes;01 Araba/Álava;Unemployment rate;2021QIII;11,44
Both sexes;01 Araba/Álava;Unemployment rate;2021QII;10,47
Both sexes;01 Araba/Álava;Unemployment rate;2021QI;11,31
Both sexes;01 Araba/Álava;Employment rate;2023QIV;53,94
Both sexes;01 Araba/Álava;Employment rate;2023QIII;52,96
Both sexes;01 Araba/Álava;Employment rate;2023QII;54,88
Both sexes;01 Araba/Álava;Employment rate;2023QI;55,67
Both sexes;01 Araba/Álava;Employment rate;2022QIV;54,69
Both sexes;01 Araba/Álava;Employment rate;2022QIII;53,49
Both sexes;01 Araba/Álava;Employment rate;2022QII;52,19
Both sexes;01 Araba/Álava;Employment rate;2022QI;51,98
Both sexes;01 Araba/Álava;Employment rate;2021QIV;54,31
Both sexes;01 Araba/Álava;Employment rate;2021QIII;51,63
Both sexes;01 Araba/Álava;Employment rate;2021QII;49,55
Both sexes;01 Araba/Álava;Employment rate;2021QI;49,72
Both sexes;33 Asturias;Activity rate;2023QIV;50,84
Both sexes;33 Asturias;Activity rate;2023QIII;51,68
Both sexes;33 Asturias;Activity rate;2023QII;50,4
Both sexes;33 Asturias;Activity rate;2023QI;49,71
Both sexes;33 Asturias;Activity rate;2022QIV;50,45
Both sexes;33 Asturias;Activity rate;2022QIII;50,02
Both sexes;33 Asturias;Activity rate;2022QII;48,86
Both sexes;33 Asturias;Activity rate;2022QI;49,86
Both sexes;33 Asturias;Activity rate;2021QIV;50,01
Both sexes;33 Asturias;Activity rate;2021QIII;51,05
Both sexes;33 Asturias;Activity rate;2021QII;51,08
Both sexes;33 Asturias;Activity rate;2021QI;50,59
Both sexes;33 Asturias;Unemployment rate;2023QIV;11,81
Both sexes;33 Asturias;Unemployment rate;2023QIII;13,09
Both sexes;33 Asturias;Unemployment rate;2023QII;10,45
Both sexes;33 Asturias;Unemployment rate;2023QI;13,06
Both sexes;33 Asturias;Unemployment rate;2022QIV;14,39
Both sexes;33 Asturias;Unemployment rate;2022QIII;12,81
Both sexes;33 Asturias;Unemployment rate;2022QII;11,36
Both sexes;33 Asturias;Unemployment rate;2022QI;11,97
Both sexes;33 Asturias;Unemployment rate;2021QIV;10,01
Both sexes;33 Asturias;Unemployment rate;2021QIII;12,32
Both sexes;33 Asturias;Unemployment rate;2021QII;13,64
Both sexes;33 Asturias;Unemployment rate;2021QI;14,09
Both sexes;33 Asturias;Employment rate;2023QIV;44,83
Both sexes;33 Asturias;Employment rate;2023QIII;44,91
Both sexes;33 Asturias;Employment rate;2023QII;45,14
Both sexes;33 Asturias;Employment rate;2023QI;43,22
Both sexes;33 Asturias;Employment rate;2022QIV;43,19
Both sexes;33 Asturias;Employment rate;2022QIII;43,61
Both sexes;33 Asturias;Employment rate;2022QII;43,31
Both sexes;33 Asturias;Employment rate;2022QI;43,89
Both sexes;33 Asturias;Employment rate;2021QIV;45
Both sexes;33 Asturias;Employment rate;2021QIII;44,76
Both sexes;33 Asturias;Employment rate;2021QII;44,11
Both sexes;33 Asturias;Employment rate;2021QI;43,46
Both sexes;05 Ávila;Activity rate;2023QIV;52,9
Both sexes;05 Ávila;Activity rate;2023QIII;53,45
Both sexes;05 Ávila;Activity rate;2023QII;54,4
Both sexes;05 Ávila;Activity rate;2023QI;54,61
Both sexes;05 Ávila;Activity rate;2022QIV;55,66
Both sexes;05 Ávila;Activity rate;2022QIII;55,56
Both sexes;05 Ávila;Activity rate;2022QII;52,78
Both sexes;05 Ávila;Activity rate;2022QI;53,34
Both sexes;05 Ávila;Activity rate;2021QIV;53,75
Both sexes;05 Ávila;Activity rate;2021QIII;51,82
Both sexes;05 Ávila;Activity rate;2021QII;53,59
Both sexes;05 Ávila;Activity rate;2021QI;52,21
Both sexes;05 Ávila;Unemployment rate;2023QIV;11,3
Both sexes;05 Ávila;Unemployment rate;2023QIII;10,95
Both sexes;05 Ávila;Unemployment rate;2023QII;11,86
Both sexes;05 Ávila;Unemployment rate;2023QI;12,77
Both sexes;05 Ávila;Unemployment rate;2022QIV;12
Both sexes;05 Ávila;Unemployment rate;2022QIII;13,02
Both sexes;05 Ávila;Unemployment rate;2022QII;14,86
Both sexes;05 Ávila;Unemployment rate;2022QI;15,35
Both sexes;05 Ávila;Unemployment rate;2021QIV;15,32
Both sexes;05 Ávila;Unemployment rate;2021QIII;12,08
Both sexes;05 Ávila;Unemployment rate;2021QII;17,18
Both sexes;05 Ávila;Unemployment rate;2021QI;15,81
Both sexes;05 Ávila;Employment rate;2023QIV;46,92
Both sexes;05 Ávila;Employment rate;2023QIII;47,6
Both sexes;05 Ávila;Employment rate;2023QII;47,95
Both sexes;05 Ávila;Employment rate;2023QI;47,63
Both sexes;05 Ávila;Employment rate;2022QIV;48,98
Both sexes;05 Ávila;Employment rate;2022QIII;48,32
Both sexes;05 Ávila;Employment rate;2022QII;44,94
Both sexes;05 Ávila;Employment rate;2022QI;45,16
Both sexes;05 Ávila;Employment rate;2021QIV;45,52
Both sexes;05 Ávila;Employment rate;2021QIII;45,56
Both sexes;05 Ávila;Employment rate;2021QII;44,38
Both sexes;05 Ávila;Employment rate;2021QI;43,96
Both sexes;06 Badajoz;Activity rate;2023QIV;56,75
Both sexes;06 Badajoz;Activity rate;2023QIII;59,45
Both sexes;06 Badajoz;Activity rate;2023QII;58,23
Both sexes;06 Badajoz;Activity rate;2023QI;57,54
Both sexes;06 Badajoz;Activity rate;2022QIV;56,96
Both sexes;06 Badajoz;Activity rate;2022QIII;57,71
Both sexes;06 Badajoz;Activity rate;2022QII;56,6
Both sexes;06 Badajoz;Activity rate;2022QI;55,75
Both sexes;06 Badajoz;Activity rate;2021QIV;55,1
Both sexes;06 Badajoz;Activity rate;2021QIII;58,29
Both sexes;06 Badajoz;Activity rate;2021QII;56,54
Both sexes;06 Badajoz;Activity rate;2021QI;54,97
Both sexes;06 Badajoz;Unemployment rate;2023QIV;17,59
Both sexes;06 Badajoz;Unemployment rate;2023QIII;18,98
Both sexes;06 Badajoz;Unemployment rate;2023QII;18,05
Both sexes;06 Badajoz;Unemployment rate;2023QI;19,46
Both sexes;06 Badajoz;Unemployment rate;2022QIV;18,82
Both sexes;06 Badajoz;Unemployment rate;2022QIII;16,47
Both sexes;06 Badajoz;Unemployment rate;2022QII;16,14
Both sexes;06 Badajoz;Unemployment rate;2022QI;18,89
Both sexes;06 Badajoz;Unemployment rate;2021QIV;19,7
Both sexes;06 Badajoz;Unemployment rate;2021QIII;18,19
Both sexes;06 Badajoz;Unemployment rate;2021QII;19,2
Both sexes;06 Badajoz;Unemployment rate;2021QI;21,47
Both sexes;06 Badajoz;Employment rate;2023QIV;46,77
Both sexes;06 Badajoz;Employment rate;2023QIII;48,16
Both sexes;06 Badajoz;Employment rate;2023QII;47,72
Both sexes;06 Badajoz;Employment rate;2023QI;46,34
Both sexes;06 Badajoz;Employment rate;2022QIV;46,24
Both sexes;06 Badajoz;Employment rate;2022QIII;48,21
Both sexes;06 Badajoz;Employment rate;2022QII;47,46
Both sexes;06 Badajoz;Employment rate;2022QI;45,22
Both sexes;06 Badajoz;Employment rate;2021QIV;44,25
Both sexes;06 Badajoz;Employment rate;2021QIII;47,69
Both sexes;06 Badajoz;Employment rate;2021QII;45,68
Both sexes;06 Badajoz;Employment rate;2021QI;43,16
Both sexes;07 Balears, Illes;Activity rate;2023QIV;61,05
Both sexes;07 Balears, Illes;Activity rate;2023QIII;67,22
Both sexes;07 Balears, Illes;Activity rate;2023QII;65,01
Both sexes;07 Balears, Illes;Activity rate;2023QI;61,79
Both sexes;07 Balears, Illes;Activity rate;2022QIV;61,05
Both sexes;07 Balears, Illes;Activity rate;2022QIII;66,77
Both sexes;07 Balears, Illes;Activity rate;2022QII;65,42
Both sexes;07 Balears, Illes;Activity rate;2022QI;63,09
Both sexes;07 Balears, Illes;Activity rate;2021QIV;61,41
Both sexes;07 Balears, Illes;Activity rate;2021QIII;66,58
Both sexes;07 Balears, Illes;Activity rate;2021QII;64,71
Both sexes;07 Balears, Illes;Activity rate;2021QI;60,17
Both sexes;07 Balears, Illes;Unemployment rate;2023QIV;11,38
Both sexes;07 Balears, Illes;Unemployment rate;2023QIII;5,72
Both sexes;07 Balears, Illes;Unemployment rate;2023QII;7,15
Both sexes;07 Balears, Illes;Unemployment rate;2023QI;18,14
Both sexes;07 Balears, Illes;Unemployment rate;2022QIV;10,91
Both sexes;07 Balears, Illes;Unemployment rate;2022QIII;5,79
Both sexes;07 Balears, Illes;Unemployment rate;2022QII;9,29
Both sexes;07 Balears, Illes;Unemployment rate;2022QI;18,03
Both sexes;07 Balears, Illes;Unemployment rate;2021QIV;14,9
Both sexes;07 Balears, Illes;Unemployment rate;2021QIII;10,57
Both sexes;07 Balears, Illes;Unemployment rate;2021QII;15,17
Both sexes;07 Balears, Illes;Unemployment rate;2021QI;18,88
Both sexes;07 Balears, Illes;Employment rate;2023QIV;54,1
Both sexes;07 Balears, Illes;Employment rate;2023QIII;63,38
Both sexes;07 Balears, Illes;Employment rate;2023QII;60,36
Both sexes;07 Balears, Illes;Employment rate;2023QI;50,58
Both sexes;07 Balears, Illes;Employment rate;2022QIV;54,39
Both sexes;07 Balears, Illes;Employment rate;2022QIII;62,91
Both sexes;07 Balears, Illes;Employment rate;2022QII;59,34
Both sexes;07 Balears, Illes;Employment rate;2022QI;51,72
Both sexes;07 Balears, Illes;Employment rate;2021QIV;52,26
Both sexes;07 Balears, Illes;Employment rate;2021QIII;59,54
Both sexes;07 Balears, Illes;Employment rate;2021QII;54,89
Both sexes;07 Balears, Illes;Employment rate;2021QI;48,81
Both sexes;08 Barcelona;Activity rate;2023QIV;63,01
Both sexes;08 Barcelona;Activity rate;2023QIII;62,31
Both sexes;08 Barcelona;Activity rate;2023QII;62,11
Both sexes;08 Barcelona;Activity rate;2023QI;61,24
Both sexes;08 Barcelona;Activity rate;2022QIV;61,28
Both sexes;08 Barcelona;Activity rate;2022QIII;61,85
Both sexes;08 Barcelona;Activity rate;2022QII;61,29
Both sexes;08 Barcelona;Activity rate;2022QI;61,01
Both sexes;08 Barcelona;Activity rate;2021QIV;61,69
Both sexes;08 Barcelona;Activity rate;2021QIII;61,49
Both sexes;08 Barcelona;Activity rate;2021QII;61,53
Both sexes;08 Barcelona;Activity rate;2021QI;61,08
Both sexes;08 Barcelona;Unemployment rate;2023QIV;8,44
Both sexes;08 Barcelona;Unemployment rate;2023QIII;8,35
Both sexes;08 Barcelona;Unemployment rate;2023QII;8,52
Both sexes;08 Barcelona;Unemployment rate;2023QI;10,15
Both sexes;08 Barcelona;Unemployment rate;2022QIV;10,15
Both sexes;08 Barcelona;Unemployment rate;2022QIII;9,3
Both sexes;08 Barcelona;Unemployment rate;2022QII;9,18
Both sexes;08 Barcelona;Unemployment rate;2022QI;10,14
Both sexes;08 Barcelona;Unemployment rate;2021QIV;9,6
Both sexes;08 Barcelona;Unemployment rate;2021QIII;10,79
Both sexes;08 Barcelona;Unemployment rate;2021QII;12,15
Both sexes;08 Barcelona;Unemployment rate;2021QI;12,36
Both sexes;08 Barcelona;Employment rate;2023QIV;57,69
Both sexes;08 Barcelona;Employment rate;2023QIII;57,11
Both sexes;08 Barcelona;Employment rate;2023QII;56,82
Both sexes;08 Barcelona;Employment rate;2023QI;55,02
Both sexes;08 Barcelona;Employment rate;2022QIV;55,07
Both sexes;08 Barcelona;Employment rate;2022QIII;56,1
Both sexes;08 Barcelona;Employment rate;2022QII;55,67
Both sexes;08 Barcelona;Employment rate;2022QI;54,82
Both sexes;08 Barcelona;Employment rate;2021QIV;55,77
Both sexes;08 Barcelona;Employment rate;2021QIII;54,86
Both sexes;08 Barcelona;Employment rate;2021QII;54,06
Both sexes;08 Barcelona;Employment rate;2021QI;53,53
Both sexes;48 Bizkaia;Activity rate;2023QIV;57,94
Both sexes;48 Bizkaia;Activity rate;2023QIII;57,73
Both sexes;48 Bizkaia;Activity rate;2023QII;57,88
Both sexes;48 Bizkaia;Activity rate;2023QI;55,92
Both sexes;48 Bizkaia;Activity rate;2022QIV;56,75
Both sexes;48 Bizkaia;Activity rate;2022QIII;57,38
Both sexes;48 Bizkaia;Activity rate;2022QII;56,71
Both sexes;48 Bizkaia;Activity rate;2022QI;57,27
Both sexes;48 Bizkaia;Activity rate;2021QIV;56,75
Both sexes;48 Bizkaia;Activity rate;2021QIII;55,86
Both sexes;48 Bizkaia;Activity rate;2021QII;54,62
Both sexes;48 Bizkaia;Activity rate;2021QI;53,45
Both sexes;48 Bizkaia;Unemployment rate;2023QIV;6,69
Both sexes;48 Bizkaia;Unemployment rate;2023QIII;7,87
Both sexes;48 Bizkaia;Unemployment rate;2023QII;7,63
Both sexes;48 Bizkaia;Unemployment rate;2023QI;9,34
Both sexes;48 Bizkaia;Unemployment rate;2022QIV;8,96
Both sexes;48 Bizkaia;Unemployment rate;2022QIII;9,58
Both sexes;48 Bizkaia;Unemployment rate;2022QII;9,28
Both sexes;48 Bizkaia;Unemployment rate;2022QI;9,55
Both sexes;48 Bizkaia;Unemployment rate;2021QIV;9,5
Both sexes;48 Bizkaia;Unemployment rate;2021QIII;10,04
Both sexes;48 Bizkaia;Unemployment rate;2021QII;11,32
Both sexes;48 Bizkaia;Unemployment rate;2021QI;12,04
Both sexes;48 Bizkaia;Employment rate;2023QIV;54,07
Both sexes;48 Bizkaia;Employment rate;2023QIII;53,19
Both sexes;48 Bizkaia;Employment rate;2023QII;53,47
Both sexes;48 Bizkaia;Employment rate;2023QI;50,7
Both sexes;48 Bizkaia;Employment rate;2022QIV;51,66
Both sexes;48 Bizkaia;Employment rate;2022QIII;51,88
Both sexes;48 Bizkaia;Employment rate;2022QII;51,45
Both sexes;48 Bizkaia;Employment rate;2022QI;51,8
Both sexes;48 Bizkaia;Employment rate;2021QIV;51,36
Both sexes;48 Bizkaia;Employment rate;2021QIII;50,25
Both sexes;48 Bizkaia;Employment rate;2021QII;48,44
Both sexes;48 Bizkaia;Employment rate;2021QI;47,01
Both sexes;09 Burgos;Activity rate;2023QIV;58,01
Both sexes;09 Burgos;Activity rate;2023QIII;57,86
Both sexes;09 Burgos;Activity rate;2023QII;56,71
Both sexes;09 Burgos;Activity rate;2023QI;57,77
Both sexes;09 Burgos;Activity rate;2022QIV;58,75
Both sexes;09 Burgos;Activity rate;2022QIII;59,03
Both sexes;09 Burgos;Activity rate;2022QII;58,94
Both sexes;09 Burgos;Activity rate;2022QI;58,91
Both sexes;09 Burgos;Activity rate;2021QIV;58,52
Both sexes;09 Burgos;Activity rate;2021QIII;58,9
Both sexes;09 Burgos;Activity rate;2021QII;57,84
Both sexes;09 Burgos;Activity rate;2021QI;57,29
Both sexes;09 Burgos;Unemployment rate;2023QIV;8,41
Both sexes;09 Burgos;Unemployment rate;2023QIII;6,94
Both sexes;09 Burgos;Unemployment rate;2023QII;7,67
Both sexes;09 Burgos;Unemployment rate;2023QI;8,27
Both sexes;09 Burgos;Unemployment rate;2022QIV;7,41
Both sexes;09 Burgos;Unemployment rate;2022QIII;6,24
Both sexes;09 Burgos;Unemployment rate;2022QII;9,7
Both sexes;09 Burgos;Unemployment rate;2022QI;9,94
Both sexes;09 Burgos;Unemployment rate;2021QIV;10,03
Both sexes;09 Burgos;Unemployment rate;2021QIII;9,09
Both sexes;09 Burgos;Unemployment rate;2021QII;10,42
Both sexes;09 Burgos;Unemployment rate;2021QI;9,88
Both sexes;09 Burgos;Employment rate;2023QIV;53,13
Both sexes;09 Burgos;Employment rate;2023QIII;53,84
Both sexes;09 Burgos;Employment rate;2023QII;52,36
Both sexes;09 Burgos;Employment rate;2023QI;52,99
Both sexes;09 Burgos;Employment rate;2022QIV;54,39
Both sexes;09 Burgos;Employment rate;2022QIII;55,34
Both sexes;09 Burgos;Employment rate;2022QII;53,23
Both sexes;09 Burgos;Employment rate;2022QI;53,06
Both sexes;09 Burgos;Employment rate;2021QIV;52,64
Both sexes;09 Burgos;Employment rate;2021QIII;53,55
Both sexes;09 Burgos;Employment rate;2021QII;51,81
Both sexes;09 Burgos;Employment rate;2021QI;51,64
Both sexes;10 Cáceres;Activity rate;2023QIV;53,52
Both sexes;10 Cáceres;Activity rate;2023QIII;52,04
Both sexes;10 Cáceres;Activity rate;2023QII;53,28
Both sexes;10 Cáceres;Activity rate;2023QI;54,18
Both sexes;10 Cáceres;Activity rate;2022QIV;52,82
Both sexes;10 Cáceres;Activity rate;2022QIII;53,64
Both sexes;10 Cáceres;Activity rate;2022QII;54,28
Both sexes;10 Cáceres;Activity rate;2022QI;53,61
Both sexes;10 Cáceres;Activity rate;2021QIV;54,51
Both sexes;10 Cáceres;Activity rate;2021QIII;53,75
Both sexes;10 Cáceres;Activity rate;2021QII;53,95
Both sexes;10 Cáceres;Activity rate;2021QI;51,56
Both sexes;10 Cáceres;Unemployment rate;2023QIV;13,96
Both sexes;10 Cáceres;Unemployment rate;2023QIII;11,71
Both sexes;10 Cáceres;Unemployment rate;2023QII;15,19
Both sexes;10 Cáceres;Unemployment rate;2023QI;19,67
Both sexes;10 Cáceres;Unemployment rate;2022QIV;15,41
Both sexes;10 Cáceres;Unemployment rate;2022QIII;14,71
Both sexes;10 Cáceres;Unemployment rate;2022QII;17,78
Both sexes;10 Cáceres;Unemployment rate;2022QI;19,14
Both sexes;10 Cáceres;Unemployment rate;2021QIV;17,64
Both sexes;10 Cáceres;Unemployment rate;2021QIII;17,44
Both sexes;10 Cáceres;Unemployment rate;2021QII;19,07
Both sexes;10 Cáceres;Unemployment rate;2021QI;23,58
Both sexes;10 Cáceres;Employment rate;2023QIV;46,05
Both sexes;10 Cáceres;Employment rate;2023QIII;45,95
Both sexes;10 Cáceres;Employment rate;2023QII;45,19
Both sexes;10 Cáceres;Employment rate;2023QI;43,52
Both sexes;10 Cáceres;Employment rate;2022QIV;44,68
Both sexes;10 Cáceres;Employment rate;2022QIII;45,75
Both sexes;10 Cáceres;Employment rate;2022QII;44,63
Both sexes;10 Cáceres;Employment rate;2022QI;43,35
